Monday 
,WL23-1, x,x,x,x,v,v,x,x,v,v,v,v,v,v,v,v,v
,SN23-1, v,v,x,x,v,v,x,x,v,v,x,x,v,v,v,v,v
,VI23-1, v,v,v,v,v,v,x,x,x,x,v,v,v,v,v,v,v
,IC23-1, v,v,v,v,v,v,x,x,v,v,v,v,v,v,v,v,v
,LX23-1, v,v,v,v,x,x,v,v,x,x,v,v,v,v,v,v,v
,NJ23-1, x,x,x,x,v,v,x,x,v,v,v,v,v,v,v,v,v
,Friday 
,WL23-1, v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
,SN23-1, v,v,v,v,v,v,v,v,x,x,v,v,v,v,v,v,v
,VI23-1, v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v
,IC23-1, v,v,x,x,v,v,v,v,v,v,v,v,v,v,v,v,v
,LX23-1, x,x,x,x,v,v,v,v,v,v,v,v,v,v,v,v,v
,NJ23-1, v,v,x,x,v,v,v,v,v,v,v,v,v,v,v,v,v
,Saturday 
,WL23-1, v,v,x,x,x,x,v,v,v,v,v,v,v,v,v,v,v
,SN23-1, x,x,x,x,x,x,v,v,x,x,v,v,v,v,v,v,v
,VI23-1, v,v,v,v,x,x,v,v,v,v,v,v,v,v,v,v,v
,IC23-1, x,x,x,x,v,v,v,v,v,v,v,v,v,v,v,v,v
,LX23-1, x,x,x,x,v,v,v,v,v,v,v,v,v,v,v,v,v
,NJ23-1, x,x,x,x,v,v,v,v,v,v,v,v,v,v,v,v,v
,Monday 
,WL23-1, x,x,x,x,v,v,x,x,v,v,v,v,v,v,v,v,v
,SN23-1, v,v,x,x,v,v,x,x,v,v,x,x,v,v,v,v,v
,VI23-1, v,v,v,v,v,v,x,x,x,x,v,v,v,v,v,v,v
,IC23-1, v,v,v,v,v,v,x,x,v,v,v,v,v,v,v,v,v
,LX23-1, v,v,v,v,x,x,v,v,x,x,v,v,v,v,v,v,v
